No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
1,VTRS,-2.84%,-4.58%,-19.69%,1.06%,-7.59%,-23.37%,2.64%,3.28%,2.40,11.39M,0.56,14.36,2.43%,"6,324,101"
2,HBAN,0.63%,2.42%,29.16%,85.47%,89.18%,27.32%,3.79%,3.27%,2.30,12.50M,0.85,16.08,1.58%,"10,670,252"
3,HST,-3.54%,5.07%,22.44%,68.69%,37.96%,17.50%,3.50%,3.63%,2.80,8.05M,0.84,17.19,1.06%,"6,741,260"
4,PBCT,1.46%,-2.33%,39.44%,82.49%,49.01%,39.44%,3.09%,3.15%,2.90,5.79M,0.58,18.03,1.69%,"3,341,306"
5,APA,-3.54%,-6.66%,27.13%,72.39%,226.22%,32.42%,4.87%,5.57%,2.30,9.11M,1.01,18.79,2.45%,"9,229,639"
6,NLOK,2.32%,6.82%,3.10%,5.62%,15.38%,3.99%,2.23%,2.82%,2.20,5.75M,0.50,21.61,2.66%,"2,899,527"
7,AAL,-8.17%,9.92%,44.30%,94.82%,46.42%,45.40%,6.24%,5.99%,3.50,57.35M,0.64,22.93,0.70%,"36,799,704"
8,NWS,-4.46%,6.00%,37.20%,71.87%,162.12%,35.12%,3.70%,3.32%,-,757.48K,1.27,24.01,-1.68%,"962,266"
9,NWSA,-5.77%,10.84%,45.46%,83.49%,180.84%,43.16%,4.00%,3.70%,1.90,3.62M,1.43,25.73,-1.85%,"5,164,812"
10,NWL,2.11%,13.03%,25.48%,59.38%,88.80%,25.48%,3.49%,2.89%,2.70,3.04M,0.66,26.64,2.98%,"2,003,050"
11,DISCK,-45.52%,-17.31%,44.71%,87.39%,91.79%,37.30%,20.25%,8.73%,3.00,7.40M,5.93,35.96,-29.55%,"43,868,676"
12,DISH,-3.11%,14.48%,16.63%,26.38%,61.83%,11.69%,3.54%,3.93%,2.60,4.83M,0.71,36.12,-0.36%,"3,446,155"
13,FOX,-10.36%,13.92%,30.34%,37.95%,47.03%,25.24%,5.71%,5.01%,-,1.75M,2.21,36.17,-5.86%,"3,861,485"
14,FOXA,-11.94%,14.41%,34.47%,44.27%,51.38%,29.81%,6.06%,5.32%,2.50,5.84M,2.18,37.80,-6.20%,"12,749,950"
15,FITB,0.34%,8.90%,38.62%,96.02%,121.94%,39.43%,3.65%,3.52%,1.90,6.19M,1.11,38.44,1.88%,"6,886,136"
16,KHC,2.27%,7.41%,15.03%,38.80%,61.61%,15.49%,2.44%,2.40%,2.70,7.44M,1.34,40.03,2.12%,"9,943,234"
17,DISCA,-45.77%,-18.36%,48.27%,96.53%,100.19%,39.25%,20.99%,9.52%,2.90,10.20M,10.20,41.90,-27.45%,"104,003,186"
18,LKQ,-1.50%,8.04%,17.93%,57.17%,92.13%,21.31%,3.52%,2.90%,1.60,1.94M,0.45,42.75,2.13%,"884,107"
19,EXC,1.30%,11.84%,4.36%,25.05%,18.97%,3.10%,1.55%,2.04%,2.10,5.18M,0.74,43.53,0.37%,"3,830,861"
20,VIAC,-50.46%,-22.83%,34.16%,65.45%,244.75%,29.44%,21.55%,10.60%,3.20,20.37M,10.37,48.23,-27.31%,"211,230,448"
21,FAST,6.15%,9.25%,2.99%,15.11%,57.76%,3.54%,2.29%,2.53%,2.80,3.44M,0.79,50.56,2.72%,"2,718,602"
22,WBA,-0.97%,7.79%,30.50%,48.53%,13.93%,30.47%,2.72%,2.82%,3.00,6.48M,0.83,52.03,0.62%,"5,361,629"
23,CSCO,7.33%,15.49%,18.47%,38.89%,29.55%,17.47%,2.50%,2.09%,2.40,21.81M,1.46,52.57,4.08%,"31,896,830"
24,LNT,4.25%,13.93%,8.94%,8.09%,12.67%,4.74%,2.28%,2.53%,2.00,1.44M,0.89,53.97,0.41%,"1,279,096"
25,CMCSA,-0.50%,5.63%,10.28%,20.74%,50.19%,5.31%,2.34%,2.32%,2.10,18.50M,1.30,55.18,-1.99%,"24,080,432"
26,FLIR,2.52%,3.75%,25.75%,60.59%,64.73%,26.92%,1.59%,1.54%,3.00,2.39M,0.29,55.63,0.29%,"688,743"
27,ZION,-1.06%,2.35%,28.36%,97.91%,104.06%,28.57%,3.99%,3.98%,2.70,1.50M,0.84,55.85,2.03%,"1,256,488"
28,UAL,-6.48%,9.75%,28.84%,73.58%,59.86%,31.40%,5.85%,5.58%,2.60,16.19M,0.95,56.83,1.39%,"15,356,502"
29,REG,3.41%,4.92%,28.37%,57.61%,36.92%,27.16%,2.81%,3.02%,2.30,1.26M,0.82,57.97,1.61%,"1,031,631"
30,MDLZ,2.31%,9.99%,3.64%,6.89%,21.55%,1.66%,1.65%,1.72%,1.80,8.05M,1.05,59.44,1.50%,"8,425,697"
31,PFG,0.40%,3.87%,24.91%,58.59%,79.11%,22.21%,2.89%,2.93%,2.70,1.63M,0.68,60.63,1.56%,"1,110,087"
32,EBAY,1.84%,6.76%,18.97%,17.48%,101.69%,21.05%,3.43%,3.54%,2.40,7.78M,0.95,60.83,4.72%,"7,406,136"
33,XRAY,-2.36%,16.88%,18.74%,43.68%,55.53%,17.04%,2.70%,2.88%,2.10,1.58M,0.71,61.28,1.21%,"1,129,647"
34,INTC,1.74%,7.40%,39.30%,31.96%,16.80%,30.21%,4.75%,3.55%,2.90,37.75M,0.91,64.87,4.60%,"34,530,746"
35,GILD,1.21%,3.90%,13.70%,4.80%,-11.67%,11.98%,2.12%,2.21%,2.40,8.93M,0.67,65.24,1.95%,"5,966,789"
36,XEL,5.27%,10.81%,3.11%,-1.13%,14.51%,-0.54%,2.24%,2.26%,2.90,2.97M,0.85,66.31,0.47%,"2,534,505"
37,WDC,-4.68%,-0.75%,34.75%,79.27%,51.91%,21.47%,4.96%,4.67%,2.20,5.31M,0.66,67.28,5.04%,"3,518,888"
38,HSIC,1.75%,9.84%,2.32%,16.64%,26.92%,1.68%,2.44%,3.05%,2.50,1.01M,1.91,67.98,1.75%,"1,935,224"
39,CERN,0.67%,3.56%,-6.77%,7.34%,18.66%,-7.71%,1.42%,1.77%,2.40,2.37M,0.65,72.43,0.21%,"1,549,904"
40,HOLX,1.93%,1.46%,-2.18%,16.52%,115.81%,0.81%,2.74%,3.39%,1.80,1.99M,0.86,73.42,3.34%,"1,706,328"
41,TRMB,0.03%,1.44%,12.20%,58.67%,143.80%,11.88%,3.68%,3.36%,2.00,2.32M,0.43,74.70,3.33%,"997,281"
42,NTAP,6.54%,22.12%,12.97%,80.16%,76.09%,12.85%,3.90%,3.56%,2.50,2.00M,0.89,74.75,6.38%,"1,772,013"
43,FANG,-0.03%,9.75%,58.56%,152.72%,192.06%,56.59%,5.08%,5.97%,1.80,3.20M,0.65,75.79,2.70%,"2,068,825"
44,STX,1.86%,4.35%,20.61%,60.31%,58.47%,22.30%,3.78%,3.24%,2.50,3.78M,0.75,76.02,4.17%,"2,831,100"
45,AMD,-2.09%,-6.08%,-15.45%,2.10%,62.97%,-15.59%,2.95%,3.77%,2.30,44.03M,1.11,77.41,1.56%,"49,033,203"
46,CTSH,3.51%,7.99%,-2.16%,18.45%,59.05%,-3.31%,1.93%,2.25%,2.40,2.90M,0.81,79.24,2.78%,"2,338,644"
47,INCY,3.00%,4.21%,-7.03%,-3.90%,11.91%,-6.01%,3.18%,3.10%,2.20,1.30M,0.84,81.75,2.47%,"1,091,135"
48,AEP,1.58%,11.39%,5.30%,5.59%,3.90%,2.07%,1.77%,2.11%,2.20,3.16M,0.97,84.99,0.32%,"3,075,833"
49,MU,-2.78%,-0.15%,25.79%,77.87%,96.45%,17.04%,5.08%,5.05%,1.90,20.19M,1.18,87.99,4.64%,"23,886,012"
50,MNST,4.24%,7.38%,3.05%,17.50%,58.45%,-0.90%,2.68%,2.52%,2.10,2.09M,1.00,91.65,3.22%,"2,099,200"
51,ATVI,2.11%,-2.84%,2.43%,15.95%,60.08%,-0.48%,2.03%,2.50%,2.00,5.72M,1.06,92.40,1.71%,"6,044,584"
52,MXIM,4.28%,1.58%,8.53%,43.38%,85.61%,5.06%,3.32%,3.17%,2.80,2.08M,1.23,93.14,5.34%,"2,560,748"
53,PCAR,-1.45%,1.04%,10.10%,14.95%,56.23%,8.58%,2.50%,2.83%,2.70,1.91M,0.80,93.68,1.53%,"1,525,332"
54,CSX,7.59%,5.93%,8.91%,27.53%,66.74%,7.61%,2.50%,2.26%,2.20,3.93M,0.80,97.66,2.22%,"3,131,133"
55,CHRW,1.03%,8.56%,4.17%,-4.03%,48.28%,4.08%,1.98%,2.31%,3.00,1.12M,1.03,97.70,1.47%,"1,157,036"
56,HAS,2.68%,7.25%,6.20%,29.33%,44.24%,5.30%,2.54%,2.92%,1.90,907.80K,0.69,98.50,0.15%,"625,392"
57,PAYX,5.20%,10.29%,6.80%,32.82%,53.55%,8.20%,2.21%,2.24%,2.90,1.88M,1.01,100.82,2.55%,"1,901,005"
58,AKAM,3.32%,7.55%,-4.07%,-7.03%,8.82%,-2.18%,2.53%,2.70%,2.10,2.22M,0.87,102.70,3.17%,"1,935,026"
59,CINF,-1.13%,7.11%,23.43%,38.63%,34.39%,21.08%,2.27%,2.69%,3.00,905.54K,0.93,105.79,-0.27%,"837,668"
60,NTRS,3.16%,8.28%,15.07%,40.72%,40.48%,13.65%,2.93%,2.84%,3.00,1.01M,1.01,105.85,2.84%,"1,014,353"
61,CPRT,0.78%,0.48%,-12.91%,5.31%,48.06%,-15.58%,2.78%,2.72%,1.70,1.22M,1.01,107.43,1.82%,"1,228,388"
62,EXPD,4.36%,17.21%,14.06%,20.64%,65.34%,13.34%,2.41%,2.23%,3.30,1.10M,0.79,107.80,4.20%,"873,877"
63,SBUX,3.35%,6.21%,7.68%,32.35%,57.22%,2.73%,2.56%,2.54%,2.30,6.51M,0.94,109.90,2.38%,"6,135,191"
64,DLTR,5.80%,15.69%,6.29%,29.36%,46.39%,5.88%,2.46%,3.02%,2.40,1.93M,1.05,114.39,2.98%,"2,038,533"
65,TER,3.58%,-5.27%,1.50%,55.99%,106.96%,-0.73%,4.88%,5.43%,2.20,2.14M,1.04,119.02,6.52%,"2,236,650"
66,AAPL,1.02%,0.18%,-7.45%,12.00%,87.60%,-8.65%,2.29%,2.71%,2.00,111.28M,0.84,121.21,0.51%,"93,814,328"
67,ROST,0.87%,3.02%,3.57%,41.16%,42.94%,-0.37%,3.97%,3.62%,1.90,2.15M,0.93,122.36,2.83%,"2,006,251"
68,TMUS,-0.97%,1.74%,-6.99%,11.25%,45.33%,-8.79%,2.51%,2.92%,1.90,4.75M,0.89,122.99,-0.40%,"4,253,633"
69,XLNX,0.21%,-2.01%,-13.28%,24.37%,53.39%,-13.14%,3.48%,4.18%,2.80,2.70M,0.87,123.14,2.59%,"2,358,190"
70,FISV,1.43%,6.29%,11.72%,25.77%,26.53%,8.56%,1.67%,1.99%,1.80,4.54M,0.88,123.61,0.54%,"3,996,387"
71,WYNN,-5.94%,-0.96%,10.52%,79.30%,78.20%,12.94%,5.04%,4.18%,2.40,2.82M,0.60,127.43,-0.52%,"1,686,363"
72,GRMN,2.12%,3.24%,6.76%,38.51%,72.94%,7.28%,2.03%,2.33%,2.20,726.14K,0.82,128.37,0.64%,"595,138"
73,AMAT,12.00%,12.91%,53.09%,122.60%,161.46%,49.06%,4.85%,4.71%,2.00,8.72M,1.60,128.64,7.45%,"13,959,545"
74,CDNS,5.66%,-3.94%,-0.36%,29.83%,98.06%,-2.82%,3.00%,3.81%,2.30,1.76M,1.33,132.58,5.50%,"2,341,329"
75,EA,3.47%,-1.77%,-6.12%,2.73%,33.92%,-7.49%,2.55%,2.35%,2.20,2.85M,0.78,132.85,2.17%,"2,228,049"
76,QCOM,1.50%,-1.87%,-9.51%,18.54%,92.80%,-12.70%,3.35%,3.26%,2.00,10.46M,1.05,132.99,4.49%,"10,999,798"
77,CTXS,2.30%,-1.60%,3.70%,2.08%,-0.85%,5.03%,2.39%,2.94%,2.30,1.34M,0.74,136.64,1.15%,"995,637"
78,PEP,6.10%,9.77%,-1.18%,8.45%,18.66%,-3.78%,1.77%,1.68%,2.30,5.55M,1.21,142.70,2.20%,"6,707,688"
79,MAR,-3.59%,-2.18%,14.16%,60.72%,77.30%,11.29%,3.93%,3.63%,2.50,2.72M,1.00,146.82,0.17%,"2,722,579"
80,NDAQ,3.42%,7.41%,17.80%,24.25%,60.65%,13.55%,2.03%,2.37%,2.30,939.51K,0.61,150.72,2.83%,"572,912"
81,ENPH,-1.86%,-9.14%,-15.67%,119.09%,320.90%,-13.34%,6.85%,8.63%,2.30,4.13M,0.49,152.07,2.42%,"2,035,306"
82,ALXN,2.61%,0.80%,1.07%,38.26%,79.79%,-0.87%,1.51%,1.41%,2.80,2.80M,0.52,154.88,1.25%,"1,469,472"
83,JKHY,4.77%,2.56%,-0.47%,-1.54%,2.77%,-4.20%,2.67%,2.59%,2.60,629.30K,1.07,155.19,1.58%,"676,339"
84,MCHP,3.57%,5.21%,14.28%,59.00%,108.56%,12.53%,4.83%,4.77%,2.00,2.22M,0.98,155.42,5.61%,"2,169,007"
85,ADI,3.42%,2.23%,9.70%,39.43%,69.63%,6.35%,3.49%,3.12%,1.80,2.99M,1.23,157.11,4.81%,"3,679,176"
86,JBHT,2.83%,13.94%,20.56%,27.54%,78.06%,22.14%,3.35%,3.13%,2.30,657.33K,0.69,166.90,3.39%,"453,696"
87,CDW,6.25%,7.02%,29.30%,52.04%,66.14%,27.40%,3.42%,2.73%,2.00,836.02K,1.58,167.90,5.19%,"1,321,907"
88,TTWO,2.68%,-5.63%,-13.64%,6.74%,51.23%,-16.12%,2.62%,3.11%,2.20,1.40M,0.76,174.29,2.65%,"1,065,550"
89,EXPE,-1.96%,12.26%,39.50%,91.69%,173.95%,33.27%,4.82%,4.51%,2.30,3.45M,0.98,176.45,1.02%,"3,388,306"
90,TROW,3.65%,10.74%,20.49%,44.32%,75.77%,17.66%,2.25%,2.83%,2.70,1.20M,0.99,178.13,3.52%,"1,190,533"
91,TSCO,3.18%,10.73%,21.50%,29.09%,113.80%,26.96%,3.31%,3.21%,2.40,1.29M,0.74,178.48,3.50%,"954,655"
92,VRSK,3.93%,8.73%,-10.67%,0.79%,25.71%,-13.95%,2.38%,2.27%,2.20,1.10M,0.59,178.63,2.20%,"651,558"
93,SWKS,3.64%,3.43%,20.86%,34.75%,95.98%,19.17%,4.52%,4.52%,2.30,2.41M,0.90,182.18,5.84%,"2,171,807"
94,QRVO,1.47%,8.02%,10.54%,46.01%,118.59%,9.76%,4.76%,4.55%,2.20,1.39M,0.72,182.50,5.94%,"1,005,741"
95,FTNT,4.75%,8.79%,21.65%,58.24%,83.80%,23.05%,3.98%,3.45%,2.20,1.25M,1.47,182.77,6.74%,"1,841,316"
96,TXN,6.94%,10.36%,16.91%,37.68%,74.65%,14.67%,3.42%,3.06%,2.50,4.74M,1.34,188.20,5.44%,"6,356,736"
97,ADP,4.76%,9.78%,9.99%,47.32%,40.59%,9.36%,1.95%,2.24%,2.90,2.06M,1.01,192.69,3.04%,"2,084,338"
98,VRSN,3.97%,4.90%,-6.70%,-1.15%,13.52%,-7.73%,2.28%,2.37%,2.00,644.17K,0.97,199.68,3.26%,"627,596"
99,ETSY,-6.08%,2.40%,6.39%,77.97%,383.09%,13.72%,6.15%,8.16%,1.80,3.49M,0.76,202.32,3.12%,"2,638,526"
100,IPGP,-2.25%,-5.96%,-6.04%,26.56%,76.84%,-7.56%,3.41%,3.60%,2.20,257.55K,0.83,206.87,1.70%,"213,965"
101,CME,2.85%,1.78%,17.21%,28.94%,20.89%,14.50%,2.20%,2.40%,2.50,1.85M,0.70,208.44,1.55%,"1,283,882"
102,FFIV,5.09%,10.73%,19.66%,76.97%,84.52%,19.61%,2.69%,2.64%,2.40,732.75K,1.11,210.44,4.54%,"816,120"
103,VRTX,-0.68%,0.78%,-8.99%,-18.43%,-4.39%,-9.18%,2.61%,2.41%,1.80,2.03M,1.38,214.64,1.07%,"2,796,910"
104,WLTW,4.25%,2.27%,9.84%,15.65%,38.59%,8.87%,1.91%,2.06%,2.30,1.00M,1.23,229.36,2.16%,"1,228,912"
105,ODFL,2.23%,9.38%,19.77%,28.17%,67.67%,20.79%,2.21%,2.65%,2.40,701.54K,0.95,235.75,1.72%,"663,496"
106,MSFT,2.66%,3.27%,6.99%,16.38%,51.48%,6.32%,2.06%,2.09%,1.70,29.86M,0.85,236.48,1.78%,"25,408,268"
107,PYPL,-0.10%,-5.08%,0.66%,32.30%,139.52%,2.92%,3.31%,4.19%,1.80,9.67M,0.85,241.03,2.90%,"8,196,423"
108,SNPS,6.53%,-0.55%,-4.69%,20.47%,89.69%,-6.36%,3.16%,3.44%,2.00,909.48K,1.38,242.75,4.78%,"1,252,406"
109,AMGN,2.81%,11.14%,13.42%,5.22%,27.39%,9.98%,2.16%,2.24%,2.30,2.71M,0.96,252.86,2.68%,"2,598,078"
110,ADSK,2.87%,-5.29%,-10.38%,21.75%,67.21%,-11.90%,2.93%,3.44%,2.10,1.44M,1.14,269.01,2.60%,"1,640,589"
111,BIIB,3.58%,-0.23%,10.12%,1.63%,-2.93%,12.97%,3.14%,3.30%,2.70,1.33M,0.49,276.63,0.97%,"655,183"
112,SBAC,6.20%,10.16%,3.51%,-7.74%,6.84%,0.16%,2.83%,3.08%,2.10,802.54K,0.65,282.57,3.75%,"520,661"
113,FB,-2.44%,11.12%,5.56%,13.42%,73.27%,3.61%,3.45%,3.35%,1.80,20.59M,0.85,283.02,1.54%,"17,540,319"
114,ABMD,0.53%,-5.95%,-0.87%,14.83%,102.05%,-7.03%,3.41%,3.95%,2.30,344.00K,0.68,301.40,2.47%,"235,050"
115,ULTA,-5.85%,-7.53%,12.87%,40.54%,60.46%,5.52%,3.20%,3.45%,2.30,820.02K,1.34,303.00,-1.17%,"1,097,565"
116,KLAC,9.24%,4.97%,26.56%,73.37%,113.64%,23.57%,5.16%,4.95%,2.30,1.33M,1.23,319.94,6.86%,"1,639,984"
117,POOL,0.31%,5.84%,-6.47%,10.24%,84.79%,-8.23%,2.46%,2.78%,2.30,372.26K,1.07,341.86,1.97%,"399,420"
118,ANSS,5.77%,1.33%,-5.32%,12.66%,48.87%,-5.73%,3.38%,3.69%,2.50,505.88K,1.51,342.96,4.60%,"762,647"
119,CTAS,4.07%,5.66%,2.12%,8.78%,79.98%,-1.94%,2.76%,3.06%,2.30,482.32K,0.75,346.61,2.83%,"359,826"
120,COST,7.03%,5.43%,-2.73%,4.10%,23.59%,-6.57%,2.45%,2.24%,2.10,3.05M,1.00,352.02,1.64%,"3,050,733"
121,DXCM,2.35%,-10.81%,-0.92%,-7.67%,40.97%,-4.60%,4.14%,3.95%,1.60,889.15K,0.79,352.73,1.30%,"700,328"
122,INTU,-1.23%,-2.94%,-0.09%,22.03%,51.61%,-0.86%,2.23%,2.92%,2.00,1.44M,1.46,376.58,1.13%,"2,104,577"
123,ILMN,-3.47%,-9.96%,9.53%,40.22%,46.29%,8.50%,3.55%,3.74%,2.80,1.10M,1.05,401.46,0.84%,"1,146,190"
124,ADBE,6.25%,2.16%,-5.60%,0.30%,45.38%,-6.20%,3.25%,2.78%,1.80,2.80M,1.27,469.09,4.01%,"3,568,277"
125,REGN,0.68%,5.23%,-3.10%,-14.45%,5.44%,-1.28%,3.57%,2.79%,2.00,1.03M,1.58,476.91,2.90%,"1,625,022"
126,ZBRA,3.70%,-4.15%,25.60%,90.27%,141.49%,24.10%,2.99%,2.99%,2.20,379.90K,0.69,476.96,3.40%,"260,558"
127,IDXX,-0.96%,-7.34%,-2.73%,31.40%,108.45%,-3.93%,2.61%,3.28%,1.90,464.47K,1.18,480.22,1.72%,"545,831"
128,AVGO,1.60%,5.44%,13.30%,36.74%,98.23%,10.09%,3.34%,3.90%,1.90,2.12M,1.35,482.04,4.41%,"2,846,618"
129,SIVB,-9.66%,-5.95%,30.32%,118.16%,186.82%,26.85%,4.95%,4.53%,2.40,505.89K,1.35,491.98,-0.74%,"682,538"
130,ORLY,3.82%,13.65%,10.66%,14.14%,55.09%,11.97%,2.25%,2.16%,2.10,639.10K,0.97,506.74,1.96%,"619,176"
131,NFLX,-0.81%,-7.07%,-1.25%,7.39%,39.96%,-6.04%,3.22%,3.20%,2.10,4.81M,0.72,508.05,1.03%,"3,460,168"
132,NVDA,-0.05%,-3.52%,-1.31%,3.98%,99.65%,-1.65%,3.58%,4.09%,2.00,8.25M,1.10,513.57,2.43%,"9,043,185"
133,MKTX,1.51%,-6.16%,-9.63%,14.53%,46.77%,-9.25%,3.78%,4.30%,2.70,288.19K,0.91,517.80,4.04%,"263,608"
134,ALGN,-0.21%,-4.99%,0.64%,69.40%,175.69%,-1.13%,3.24%,4.22%,2.10,618.70K,0.88,528.34,2.02%,"544,683"
135,LRCX,7.73%,6.68%,24.01%,78.57%,124.41%,23.71%,4.60%,5.04%,2.10,1.65M,1.13,584.23,6.61%,"1,861,520"
136,TSLA,-5.52%,-9.31%,-4.22%,59.55%,485.72%,-12.32%,5.39%,7.19%,2.90,35.80M,0.94,618.71,-3.39%,"33,627,746"
137,CHTR,0.32%,5.02%,-2.42%,3.32%,39.10%,-4.50%,2.84%,2.71%,2.10,1.22M,1.03,631.75,-0.95%,"1,252,398"
138,EQIX,4.68%,7.09%,-2.77%,-6.83%,16.35%,-4.28%,3.02%,3.18%,1.80,589.09K,0.68,683.63,2.32%,"398,219"
139,ISRG,3.29%,-1.49%,-9.74%,11.14%,45.72%,-10.68%,2.68%,2.79%,2.50,591.10K,0.85,730.75,3.73%,"500,870"
140,GOOGL,-0.11%,0.44%,17.16%,42.30%,74.11%,15.52%,1.93%,2.49%,1.70,1.80M,0.77,2024.73,-0.38%,"1,386,619"
